comment,author,num_likes,rate
영상을 삭제하고 다시 올렸습니다. 중간에 들어간 밈에 저작권이 걸려있어 재편집했습니다. 앞으로 좀 더 신경쓰겠습니다^^,문스타 영화 리뷰,10,7.651869773864746
25년 인생 7광구 염력 리얼 모두봤는데 디워같은 쓰레기영화는 아직못찾음,ᄒᄋ,3,2.65521502494812
나도 이거 영화관에서 봤는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 무슨 초등학교 저학년때 봐서 그냥 재밌게 봤던 기억이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,음치미,51,8.042096138000488
서양의 주연 동양의 주연 모두가 연기를 못했던 ...,오마이걸비니님은 천사야,18,6.002689361572266
여주 캡틴마블 주인공 많이 닮았다,BEAN,11,6.4285383224487305
이걸  보는게  애국이라고  해서  더봤음. 모든  코미디언  지인  지인에 지인  피라미드  신천지  영화임  .,박절봉,25,1.2841359376907349
ㅋㅋㅋㅋ 나는 7살에 다워를봐서 그런가 겁나 재미있게 봤는데,김재형,74,8.698107719421387
부잣집 초딩이 꿈을 꾸고나서 너무 재밌어서 아버지 졸라서 영화화 한 느낌이야,DongKyun Kim,5,5.1253557205200195
저걸 어릴때 극장가서 박수치면서 본 내 인생이 레전드,반고,25,9.428988456726074
제목 똥기저귘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김지수,4,3.622114896774292
디워2 나온데요 ㅋㅋㅋㅋㅋ,돼지,7,2.6641101837158203
그러나 디워 이후로 이런 판타지물은 없었다는 것 심형래씨의 도전정신은. 높이 평가 할만한 영화라 생각합니다.  스토리만 탄탄했어도...,황필립의 잡동사니,12,3.894321918487549
난 그래도 재밌게 봤는데.용으로 변신하는 장면이 진짜 멋지던데..ㅋㅋ,최기현,5,8.622225761413574
심형래가 이런거 안했다면 다른 감독  누군가가 피해를 봤겠지 이건 희생이다.,김봉남,25,5.368222236633301
심형래 감독은 용을 좋아하네,욕을 참자,3,4.617518424987793
어릴때 영화관에서 나름 재밌게 봤던거 같은데 ㅋㅋㅋㅋㅋㅋ,강민,14,8.069790840148926
내가 이 개똥만도 못한 좃같은 영화를 영화관에서 본 뒤로 말이지. 영화 보기전에 평점이나 유튜버 영상을 통해 꼭 한번 확인하고 보는 습관이 생겼어.,리시U,7,2.1340808868408203
이 영화가 좆망하리란 건 저 이무기도 알고있었을듯,불장난,17,2.1569979190826416
모든게 다 다 유치해..,infiniti 3,6,2.6547815799713135
