comment,author,num_likes,rate
저는 오늘에서야 리얼을 제대로 처음부터 끝까지 봤습니다.  설리(최진리)씨가 이제 세상에 없어서 안타까운 마음에 영화를 보는데 설리씨는.. 그냥 그렇게 가기에는 참 아까운사람이었던 것 같습니다.,Chris Kim,4,7.833169937133789
영화를 찍을수 있는 자격증은 의사가 환자를 치료할수 있는 자격증처럼 엄정히 관리되야함  대체 몇명의 커리어를 작살내고 얼마의 돈을 허공으로 날린거임 ㅋ 엄복동,moi45able,5,1.3498591184616089
감독님 정신과 상담받아보세요. 괴상한 영화만들어 사람들 병자 만들지 마시고요..,끝까지,5,0.813602864742279
당분간 안 나온다고 하셨는데 계속 나오고 있어요. 어떻게 된거죠?,Yong Woon Lee,5,6.079671859741211
망작이 아니라 괴작이라는 게 진짜 정확한 표현ㅋㅋㅋㅋ영화 끝나고 나니까 너무 이상해서 오히려 감상평이 길어지더라고요 3일 내내 빙의와 변태새끼와 춤이 생각나서 힘들었어요,1664블랑,108,3.601797342300415
리뷰에서마저 스토리가 이해가 안가는 영화는 처음ㅋㅋㅋㅋㅋㅋ 갑자기 춤을 춥니다라고 했을때 저도 띠용했네요,ᄋᄉᄋ,18,6.540369987487793
이 영화 이후 자전차맨이 의지를 이어 갔다...,하냐앙모드,22,7.111410140991211
심지어 리뷰도 무슨말인지 모르겠다...,patent Attorney,58,2.960582971572876
"라이너님의 말은 틀렸습니다. 당분간 한국에서 이만한 망, 졸 , 괴작이 나오지 않을지도 모른다구요? 아닙니다. 일년도 지나지않아 엄복동이 이걸 해냅니다. ㅋㅋㅋㅋㅋㅋㅋ",NK Lee,386,9.202268600463867
형은 또 틀렸어.....  1ubd가 나왔거든,지당,5,7.3001275062561035
코맹맹이소리가 싫어요..,김동현,6,3.260394811630249
하지만 엄복동이 리얼을 뛰어 넘는 망작이 됐다..,David Jung,10,2.885991096496582
이걸 뛰어넘는 졸작이 나왔습니다 UM BOK DONG,레슬링,4,1.8033215999603271
"그러나 리얼 이후 데자뷰, 상류사회, 엄복동이 나왔죠.",Gyeong Chan Kim,40,3.2738821506500244
조만간 다시 나오기 힘든영화가 올해에 나오다니...,배광수,4,4.682480812072754
난 굉장히 재미있게 봤다 심리학을 기반을 둔 해리성 장애와 현실에 대한 차이를 잘 묘사한 작품이고 김수현이 겪고 있는 증상과 예술적 분위기를 너무 잘 표현 했다... 진짜로 심리학자들은 꼭 보기를 바란다 (naman Dang har su up da),인생은상담이다.,8,8.326711654663086
1년 후 지금 다시 봅니다. 1년전처럼 이 영화를 직접 본  라이너님의 분노와 피로감이 느껴집니다!,김성모,4,9.029671669006348
"진짜 &#39;영화가 궁금하다&#39; 라는 이유 하나만으로 친구랑 영화관에서 봤는데 영화 보는내내 뭔이야기를 하는지 전혀 알수가 없었음, 보다보다 하도 이해가 안되서 옆에 친구한데 조용히 물어보니까 친구가 이해를 하려고 하지말라고 말함, 내가 그게 뭔소리냐 그래도 돈내고 봤는데 뭔 내용인지를 알아야하지 않겠냐 라고 친구에게 말하자마자 이어서 김수현 현대무용이 나옴, 그제서야 내친구 말처럼 아 이영화는 이해하는게 아니구나 생각하면서 배터지게 웃었던 기억이 있음...하 그냥 여러가지로 역대급이던 영화임...그와중에 라이너님 너무 영화를 좋게 평가 하신거 아닙니까..ㄷㄷ",너말야쩝쩝충,3,8.558758735656738
난 극장에 앉아서 어떻게든 이 영화를 이해해볼려고 진짜 노력했다. 너무나 많은 생각들이 머리속으로 가득찼다. 결론이 안났다. 결국 마지막에는 설리만 남았다.,고영규,11,6.484230041503906
왜계속 껌을 씹는지부터 의문인데....,KHJ,12,4.958736419677734
이쯤되면 한국영화계엔 암묵적인 어떤 &#39;유니버스&#39;가 있는듯 하다...,Kang Nam,9,4.007753849029541
아 리뷰를 보면서도 멀미할거 같아ㅋㅋㅋㅋㅋㅋㅋㅋ,피치펭,10,3.711550235748291
안볼까하다가 최근에봤습니다 리얼... 리얼쉴드치시는분들은 음... 영화 안목을 높이셔야겠네요,권오경,21,8.85724925994873
되려 이 영화를 찍은 이후 김수현의 눈물이라는 이름으로 다큐 하나 찍으면 그게 더 영화같을 것 같은 영화,CHTV - Illustrator / Comics writter,13,3.6886146068573
ㅋㅋㅋㅋㅋ아니ㅋㅋㅋㅋㅋ리뷰가 너무 예의바르고 조곤조곤하게 끝까지 욕하시네 ㅋㅋㅋㅋㅋ아 너무 재밌어요,아틀리쌰인,5,5.043456077575684
라이너님이 스토리를 얘기해주시는데 진짜 1도 못알아듣겠는 영화는 처음....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,박솔잎,4,9.210078239440918
피카츄 ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,V for Vendetta,8,3.214688539505005
리얼 이후로 이런 ㄱ ㅐ 망작은 안나올꺼라 생각햇더만  상류사회가 통수를 딱 ~~~~,부롱이,40,3.395054578781128
그렇게 상류사회가 나오게 되고....,알라라크,17,2.3812296390533447
그런데 불과 일년후에.. 상류사회가 나왔다고 합니다..,이성현,284,4.795337200164795
"죄송해요,,, 리뷰를 보는데도 영화가 무슨 내용인지 모르겠어요ㅠㅠㅠㅠ",쥬쥬,179,2.4513208866119385
난 엄청 재미있던데...,농부의꿈,4,9.034732818603516
"진짜 웬만하면 평점 쓰레기인 골든슬럼버, 염력 심지어 최근 인랑도 그나마 집중해서 봤을정도로 집중력이 나쁘진 않은데 리얼은 진짜 리얼이였음 개연성1도없고 그냥 김수현 싸움, 춤 모음집 보는기분  걍 쓰렑기영화였음",김성현,3,5.147656440734863
아 ocn진짜 개새끼들이야 이거 요즘 계속 틀어 내가 신기해서 봤다 진짜 시밮... 와 두번은 못보겠다.,sj hi,6,8.374842643737793
약 빨고 만든 영화가 아니라 약 빨라고 만든 영화. 약 빨고 봐야만 그 진정한 의미와 재미를 느낄수 있을것.,Buster Left,4,8.835596084594727
이게 그 유명한 별의형태조차 아깝다는 평점의 영화ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ᄋ쑤,463,1.9274334907531738
와 전 이 영화 스토리 진짜 이해 못했는데 이 영상 보고나서야 뭐였는지 알았네요. 이 영화를 이렇게 성실하고 진지하게 보셨다는 게 진심 프로의식이 느껴집니다. 정말 존경합니다.,박동규,52,8.84666633605957
...나만 잼있게 봤냐,우재,4,6.752955913543701
야한장면은 대체 왜 처넣은거야. 감독 미치광이 정신병자인듯 합니다. 아주 야동을 찍지. 영화보다가 토악질 나와 뒈지는 줄 알았음. 영화보다 구역질 난건 처음임. 이딴 영화에 출연해 발레 춤이나 쳐댄 김수현도 싫어집니다.,시우,162,1.3361022472381592
와 ㅋㅋㅋㅋ  이분 만큼 이 영화의 스토리를 이해하고 포장한 리뷰는 처음 봤다. 그런데도 암담한 영화 ㅋㅋㅋ,만화경필터,6,4.604155540466309
상당히 정신이 없고 어지러움. 감독이 뭘말하고 싶어하는지 알고싶었는데 너무 어지러움,최승철,3,4.162327289581299
김수현이 불쌍하다. 영화개봉하고 울었다던데....,- KiaOra,180,7.5586113929748535
그러니까 그냥 정신병이 있는 주인공이 바보짓 하는거다 이거죠? 그리고 보는 독자들도 정신병이 걸릴 것 같은거고ㅋㅋㅋ안보길 잘했네요ㅋㅋㅋㅋ,엘리사 구독해주세요,33,2.9000117778778076
짅짜  리뷰 잘하시는거같다 ㅋㅋㅋㅋㅋ,초보자,13,4.7564167976379395
근데 바뀐 감독이 김수현 사촌형인가??? 아무튼 지인이라며 그러면 김수현이 다 자기 인맥으로 영화 꾸린거 아닌가,ᄏᄏᄏ,11,2.7450308799743652
설리도 안타갑다...진짜...,Estine YOON,3,3.8159759044647217
