comment,author,num_likes,rate
"저스트 필름님. 이렇게 저희 영화를 리뷰해 주셔서 진심으로 감사합니다. 많이 부족한 영화이지만 이렇게 영상으로 다시 회자되니 그저 감사할 따름이네요. 앞으로 더 좋은 작품 만들 수 있도록, 좋은 연기 할 수 있도로 노력하겠습니다. 다시 한 번 진심으로 감사드립니다.",지일주Ji il joo,673,9.77367877960205
오만인가.. 호구인가..  술집여자는 굉장히 미화화 시켜놓은 피해자같고 남자는 무슨 가해자 처럼 해놨네;; 남자가 술집 서비스 하는거 싫어서 그렇해 열심히 살자고 빚 청산해주고 진심을 받아들여?? 그 진심은 받았고 현실이랑 타협해서 다시 술집이라... 서로 같이 지금 상황에서 좀더 나은 방법을 찾을수는 없었을까?? 좀 남자가 가해자인것처럼 나오는 영화 좀 안봤으면 좋겠다,연뀨,3,7.6764936447143555
미친!! 업소 여자랑 사랑이 말이 되나?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,빽선생,4,5.291003227233887
현실적이네 정말로 ;;; 소름 돋는다 ;;;,한슬한비TV,3,9.224787712097168
"저 바닥은 다 똑같은가보다... 고마운 마음도 잠시, 자기 상황이 어려워지면 한때 본인을 누구보다 소즁히 여겼던 사람과 그의 마음을 짓밟아 버리는 건. 평생 뼈저리게 후회하길",넌 듣기만 해 내가 해석할게,4,7.567966461181641
두 분 다 연기를 찰떡같이 잘하시네..,넌 듣기만 해 내가 해석할게,8,5.7834367752075195
"20대 나의 일이 생각나네. 남자가 미혼일때 쉽게 넘어가는게 술집여자, 이혼녀, 애 딸린 돌싱녀인데, 정말 잘 생각하고 만나야 함. 밤에 하는 떡정과 남자 마음 잘 이용하는 선수질에 넘어가 현실을 파악 못하고 깊게 빠져 들어가다 몸, 정신, 돈, 시간 다 낭비하고 결국 회사에서도 일에 집중 안돼 미래까지 흔들림. 그냥 엔조이는 엔조이로 가야함. 영화보고 옛날 생각나서 적어 봄. 그리고 남자 주인공 연기 아주 잘함. 나의 20대 모습 같음.",Bryan Park,4,8.155388832092285
영화 프리티우먼의 리차드기어 정도 안될거면 저런 사랑은 꿈도 꾸지 말아야 한다 ㅎㅎ,JB H,3,8.29190444946289
지일주 배우가 감독도 했었군요,윤기영,8,4.486908435821533
순수한 사랑이라고 믿었지만 현실앞에서는 그건 단지 아련한 추억일 뿐이다,MT75 MR,11,7.721254825592041
남주 뭐임? 왤케 잘생김?,방구석심리전문가,33,5.352245330810547
사랑으로 현실을 극복하기는 어려움..,A매직아템,6,7.236816883087158
남자 개쓰레기구만.. 여자는 그래도 애때문에 어쩔수없이 그랬다하지만 남자는 본인이 선택해놓고 계획에 어긋나고 수틀리니까 본성나온거 ㄷㄷ,배불,3,6.280160427093506
풉ㅋㅋ 존잘이면 공사 안당하고 연애합니다~,쎄쎄쎄글쎄,5,8.052594184875488
과정이 어찌됬고 때와 상황이나 장소가 어찌됬든 그들만의 사정이고 그들만의 아픔이었고 그들만의 인생이다..,Ava Macky,8,7.991555690765381
돈많은남자들 이 업소녀한테 돈빨리고 그업소녀는 호빠선수한테 돈빨리고 이게 화류계 먹이사슬이다  그러다가 나이먹어 잘 안먹힐때쯤 적당히돈있고 자기한테 맛탱이간 남자랑 결혼하더라,아연맨,48,4.8460516929626465
남자주인공 저런사람을 유흥업에서는 로진이라고 부릅니다 아가씨들의 기피대상1호,팩트폭행,17,6.478311061859131
