comment,author,num_likes,rate
"0. 초단편 약빤 리뷰 - [클레멘타인] 은 총 2부작입니다. 2부는 더 재밌읍니다. 0-1. 이 영화 실제로 최초의 한미 공동 제작 영화임 1. 하지만 바로 다음에 업로드 되진 않고, 다른 영상 먼저 업로드한 다음에 2부가 업로드될 예정입니다. 2. 작년 9월에 대본을 쓰기 시작했다가 너무 어려워서 접어두고 새해 들어 다시 꺼내들었는데, 녹음에만 3일 걸렸고 1부 편집만 4일 밤새서했읍니다. 왜 말하냐고? 힘들었다고 징징거리는거임 칭찬해줘 기특하다고 해달라고 3. 밤새서 편집 끝난 현재 시각 토요일 아침 7시, 노딱 때문에 잠을 못 자고 있습니다. 매번 영상 업로드할 때마다 노딱 때문에 스트레스 받아 뒤지겠네 ㅆㅂ",김스카이,1153,1.5248249769210815
2부 어디감?,ms j,3,5.637588977813721
맨 처음에 쳐 웃는 스티븐 시벌은 대역이라고 합니다.,이테,4,3.751539707183838
**(팩트) 필름엔 p가 없다,박월,115,3.0731394290924072
뇌종양이 있었는데 이걸 보고 뇌가 없어졌습니다,자세히보기,216,2.317111015319824
언제봐도 안질린닼ㅋㅋㅋㅋㅋ 진짜,_Rebirth_,5,8.999289512634277
이 영화를 보고 세상의 아름다움을 깨달았습니다. 영화를 살 돈으로 치킨을 사 먹을 생각을 할 수 있도록 만들어준 교훈적인 영화입니다.,히코美咲すみれ,3,8.356256484985352
암세포가 암에걸려 죽어서 암이 나았습니다,치코리타,45,1.7948037385940552
"차라리 대사를 죄없는 기계를 왜 부수냐고 할 때, 그래 기계는 죄가 없으니 죄 있는 늬들이 좀 맞자라고 하지...",༺ৡ 대사제 ৡ༻,5,6.291155815124512
DC는 엄마이름 한국은 아빠. 망하는 건 부모를 들먹이네,여신강림,10,1.9026166200637817
스티븐 시걸 대역ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Kim,5,1.4832823276519775
이분꺼 왜리 재밌냨ㅋㅋㅋㅋㅋㅋ,랜쌤_Youtube#마약배달,3,3.8951315879821777
그 유명한... 암세포가 암에 걸려 암이 나았다는...그 영화!,Jihyun Park,10,2.2121458053588867
나 인터레스티 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이재홍,4,2.4743242263793945
이 영화를 보고 야동의 영화성을 다시 보게됐다,서정훈,93,6.697844982147217
