comment,author,num_likes,rate
임혁필입니다 제가 이런 한국영화의 전설에 출연하다니 너무 영광이었습니다 ㅋ,대단해요,1318,3.139742136001587
이 영화는 원래 태권도 홍보 목적이라고 합니다.ㅋㅋㅋ,우휘재,3,2.418067693710327
성냥팔이소녀의 재림을 보고 클레멘타인까지 연달아 보니 혼란스러워졌어..,MINT,5,1.8418265581130981
허우!!!클레멘타인ㅋㅋㅋㅋㅋ다시 봐도 재밌네ㅋㅋㅋㅋ끅끄끄크끄끜ㅋㅋㅋ으아악ㅋㅋㅋ아앜ㅋㅋ아차 맞당 히히 이번에누우운 말할수없는비밀 해줄꺼지이???케케케 요청할게!!!!!,와이거 사람불러야돼,3,0.8626893758773804
40억으로 회식한듯,김구글,3,2.73451828956604
여기서 제일 불쌍한사람은 누굴까? 1.40억 꼴아박고 쪽박친 동준이형 2.이걸 영화관에서 본 사람들 3.이걸 리뷰하려고 몇번이고 돌려봤을 구불형,홍지호,44,2.080059289932251
사랑이가 다 했다...,턴언더,3,8.691873550415039
관객수가 3562명인데 평점준 사람은 21733명인 전설의 영화,Mokube,462,4.861420631408691
이영화를 보고 치질이 나았습니다.,이준원,3,5.023663520812988
이게 뭐라고 세달에 한번씩 보러오는거냐 ㅋㅋㅋ,PALLOWWE Cha,6,8.274535179138184
최저급 영화에 최저급 주연배우,kim hs,8,1.576924443244934
이 영화를 너무 감명깊게 봐서 주인공 이름인 &#39;이동준&#39;과 헐리우드 스타 &#39;스티븐 시갈&#39;의 이름을 따서 2세의 이름을 &#39;이동갈&#39;로 짓겠다던 분 있었는데...,black & white,3,6.857125759124756
코미디 영화 치고는 폭력이 너무 많아. 동준 할배 발차기 자랑하려고 만든 영화같네. 동준 할배 가끔 술 취해서 자아도취 빠졌을때 상상하던 장면을 그대로 영화화한 작품~,키나우,11,5.6634039878845215
이럴수가.. 영화보다 리뷰가 더 잼잇다니..,wm80 k,20,6.650084495544434
너무 어이 없어서 유명한 영화네요,James Kwon,5,2.292001724243164
재능도 지능도 적성도 없는 이들이 의기투합해 만든 대형 블랙홀..,George Michael,21,6.677866458892822
내가 중딩때 이거 개봉했을때 학교 단체로 강제관람한뒤에 인내심이 엄청나게상승했었지... 그 인내심으로 수능도 버텼고 군대도 버텼고 취준기간도 버텼지... 클레멘타인이 아니었다면 지금 나는 이세상사람이 아니었을수도...,캥거루,589,1.8123499155044556
제작비가 40억이라는게 놀랍다 ㅋㅋㅋ,C MK,276,3.2656807899475098
시갈튜브 : 이상한 나라에서 12억 벌어온 후기 공유합니다. 이것만 따라하면 당신도 10억대 배우가 될수있다!,ᄋᄋ이러지마,78,3.0210933685302734
성지순례 다녀 갑니더~~ 사업 잘되게 해주세유~~푸흡ㅋㅋㅋ,오소리,3,1.173677921295166
시기별로 명작나오네 2002년 성냥팔이 소녀재림 2004년 클레멘타인 2011년 7광구 2019년 자전차왕 엄복동 미래가 기다려진다;;;,박루아,7,2.9036941528320312
그냥 제작자이자 주연 본인이 찍고싶은데로 또 하고싶은 헐리웃배우 섭외하며 소원풀이한 영화ㅋ[이세상 단한명이 흡족해할 무비],Kyo Young Seo,8,3.178723096847534
결국 사랑이는 성훈이 형이 키우게 되고...,Aphex Triplet,120,7.410975456237793
영화를 보고 암이 암걸렸다는 전설의 영화,먼킨주,6,3.5162980556488037
의식의 흐름대로 영화만드네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Jun,3,5.147493362426758
제가 이영화를 극장에서 본사람입니다...이영화를보고 눈물을흘리고나왔습니다,김영훈,21,9.175030708312988
영화인데 드라마적 구성은 다넣은듯,굇수고양이,8,5.66084098815918
근데 이영화 제목이 왜 클레멘타인이죠??? 난 그게 젤 이상하네....,Gyuman Yoon,12,3.2208805084228516
전 이영화 단성사에서 보았습니다. 종로에서 신발사고 초대권 받아서 본거라 1시간 여남짓 시간 손해본거 말곤 그다지... 안본 눈 삽니다.,버들류,25,1.1170727014541626
암세포가 암에 걸려 완쾌 된다는 전설의 영화,ᄂ귀차니즘ᄀ,5,1.5158065557479858
지금 나오는 한국 영화들 수준 보면 극히 일부 제외하면 클레멘타인에 비비지도 못하지.ㅋㅋㅋㅋ,박준협,4,2.6214873790740967
허탈한 시바견의 헛웃음... ㅍㅍ 머리에 꽃을 꽂은 이유를 알겠다는...ㅅㅅ,바람봄,6,2.7091996669769287
미친 중간에 산부인과 우리집 앞이야!,자나,7,3.068765878677368
의리출연 김보성,indra,12,3.017282247543335
뭔 내용이야ㅋㅋㅋㄱㅋㅋㅋㅋ,명문,5,3.3650379180908203
딸이 아빠 일어나를 외칠때 관객들이 모두 자다 일어났다는 !,카럽,235,6.50042724609375
"이 영화는 2004년에나왔는데 그게 무려 살인의추억,올드보이가 나온 1년 후라는것",jung oh,199,3.817937135696411
배우가 영화공부도 안하고 영화제작하면 망한다는걸 보여준 영화네요 ㅋㅋ,spirit holy,63,5.06224250793457
이동준 감독이 이영화 찍느라 대치동 청실 아파트 팔음... 그거 래미안 대치펠리스로 재건축한뒤 지금 25억!!,윤석진,378,1.55160391330719
