comment,author,num_likes,rate
지랄하지마!!!!!앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,low lack,3,3.128143548965454
분명 한국영환데 뱀vs 용  그리고 한국은 조선시대만 나오고 끝나고  그 이후로는 다 미국이랑 맞다이 어허...,영웅들의 이야기,3,2.363438844680786
크아아아앙  이무기중에서도 최강의 착한이무기가 울부짓었따 착한이무기는 졸라짱쎄서 대한민국지사 이무기중에서 최강이엇따 신이나 마족도 이겼따 다덤벼도 이겼따 이무기는 새상에서 하나였다 어쨌든 걔가 울부짓었따  에엑따 공룡이다  스토리 정리 끝,Fraise K,140,5.3498616218566895
아ㅏㅏㅏㅏㅅㅂ 여기 체널 ㅈ나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아니 고마워,3,3.1454436779022217
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친3줄요약ㅋㅋㅋㅋㅋㅋㅋㅋ,Burn out,3,3.0401430130004883
재밌게 말 할라고 온갖 상황극은 쫙 짜넣은거같은 느낌.,피스,4,7.861363410949707
저 영화를 보면서 장점이 하나 있습니다. 다른 영화들이 대부분 다 재밋게 느껴집니다.... 문제는 영화 내용이 기억이 않나 금세 잊는 다는 점입니다.   나도 보면서 뭔지 잘 모르겠으........,깍두긔,3,6.53112268447876
디워 끝나고 극장에서 박수치더라 하는 소감들 보고 극장에 디워를 보러갔음(참고로 이때까지 나도 심빠) 나도 같이 미쳤는지 영화가 왜 이래? 하면서 보다가 막판 이무기 눈물과 아리랑에 뭔가 마음이 찡하더라구...그리고 영화가 끝났는데 하나둘 박수를 치기 시작함  나도 같이 박수를 치고 옴   그냥 모두 미쳤었음,서땡끼,73,8.866000175476074
영상 존나 대충 만들었네 근데 영화보단 잘 만듬,최향호,80,5.478701114654541
존나 무슨생각으로 미국에서 미군이랑 미국인 존나 등장시키고 아리랑을 트는지 모르겠다,kjj,10,2.759925365447998
요즘 유튜버들 사과하는게 트렌든데 김채호님도 ㅋㅋㅋㅋㅋㅋ,Daniel H,5,4.281899929046631
이거 나올때만 해도 아직 &#39;우리것이 좋은것이여~&#39; 라는 뽕이 덜 빠져서 이런 날먹영화가 800만인가 찍었지 ㅋㅋ 이제는 관객들도 눈이 좀 뜨여서 안통하니까 &#39;아쒸뻘 외국영화때매 국산영화가 옛날처럼 흥하질 못하네&#39; 이러고 발작하는애들 역-겹,마루,284,1.3611940145492554
난 시바 이무기라는 놈이 왜 코브라 처럼 생긴건지 아직도 이해가 안간다.,영법사,59,2.665480613708496
그때 이무기가 지하주차장 따라가는 씬 보고 나만 빵터졌는데 대사가 롤러코스터 뭐시기 였덧것같은데,베베,8,7.131652355194092
형 죄송합니다 영상은 양x 처럼 아파보이는 메이크업을 해야지 그렇게 이쁜이 메이크업 하면 시청자들한테 혼나...,박강현,64,3.4598963260650635
디워요?그 다리없는 목도리도마뱀이 구슬 잘못삼켜서 사례걸리더니 지렁이로 퇴화하는 영화아닌가요..?죽어서 하늘로 승천하는줄 알앗는데,chuchu cho,3,2.6971819400787354
내 인생 최대의 실수는 괴물을 보자 하던 부모님에게 디워를 보자며 떼를 썼던 것이다 부모님 정말 죄송합니다,딩츠,967,1.2756069898605347
어째서 더 워가 아니라 디 워인지... 고민하게 했던 영화  1. 발음기호상의 아이우에오에 해당하는 모음만 해당해서 w발음은 더가 맞다는걸 깨달은 영화.. 2. 외국인들은 굳이 모음이 아니라도 가끔은 디로 발음해서 강조하는 경우도 있다라는 걸 알게해준 영화  유.익.하.다!,이지환,6,3.021615743637085
아빠가 보러가자고 하고 저는 그렇게 하자했습니다.       아버지....저한테 왜그랬어요...말해봐요,어진동최어진,31,3.2200565338134766
제가 영화를 잘 안봐요 진짜로 ㄹㅇ 영화관 가는게 손에 꼽을 정도로.... 그런데 친구놈이 보러가자고 재미있을것 같다고 한것들이 디워  7광구   헝거게임(시리즈가 있는데 1편은 당연 안봤고 친구놈이 전편 안봐도 이해 다된다길래 봤다가 때릴뻔...) 최근에는 그 반도를 보자고 하더라구요 손절하고싶네요,따끈한빙수,7,5.952891826629639
이게 ㅈ나 마법같은 영화인게 어렸을땐 다들 재밌게봄. 근데 크면 ㅈ같다함,김진혁,268,8.065338134765625
와......엥간한 망작도  소개 영상은 &#39;엌ㅋㅋㅋ 개웃기네 ㅅㅂ&#39; 이러고 마는데 이건 ㄹㅇ 못보겠다...,ᄆᄀᄅᄋ,40,2.285794496536255
디워에서 볼만한것:동양 용이 (아마도 거의 최초로)3d로 나왔다는것,dinos119,3,6.403528690338135
