comment,author,num_likes,rate
"이영화 넘조아해서 몇번 봤는데 이렇게 그냥 지나간 식사장면 관점에서 보는겄도 신선하네요. 정말 아름다운 영화죠.  뉴욕에서 사는데 많은 미국친구들도 감탄한영화, 끝에 반전은 사이다, 예상치못했지만 넘나 그럴수밖에 없었던 해피엔딩.",cathy palm,5,8.421273231506348
히데코 참 못 생겼다 연기력까지 안됐으면 대단히 못 난 인물이다,김차,4,5.489815711975098
와 김민희 근데 너무 이뻐 진짜 잘 어울려 하,빈계정,69,7.2982282638549805
진짜 저 복숭아 먹을때 과즙 터지는 장면은 최고의 장면 이었음..,쁘로토앗ប្រុសធាត់,47,6.923509120941162
ㅋㅋ이영화 성적대상화 썸네일 어그로 안하는 리뷰 처음봄 ㅋㅋㅋㅋ지겹도록 영화 리뷴데 이분은 다를거같아 굳이 들어와 한번 더 보고 갑니다 흥하세요,나물,155,0.9863383173942566
아가씨는뭐라해도 대작이야,우와,74,8.064531326293945
"이런 리뷰 너무좋아요. 하나하나 짚어나가는것. 그것도 식탁, 식사라는 한 씬에 숨어있는 것들을 꼬집어내는게!",zz Z,7,7.273080825805664
어떡하냐진짜 하정우너무좋아;,IW YI,20,8.977346420288086
역시 하정우,최사랑,4,8.398138999938965
식탁님 영상 잘 보고 있습니다. 처음엔 영화에 나오는 먹는 장면을 가지고 억지로 의미를 부여하고 있다고 생각했는데 영화를 다시 보고 생각해보니 아 정말 그렇게 볼 수 있겠구나 라고 느꼈어요. 덕분에 영화의 한 장면 장면마다 어떤 의미나 의도가 있을까 하고 보게 되네요. 또 영화를 감상하는 기술(?) 이라고 해야할까 자세라고 해야할까 아무튼 그런걸 깨닫게 되었습니다. 앞으로도 좋은 영상 부탁할게요.,슈퍼벼룩,8,7.917775630950928
내보기엔 김태리가 얼굴도 갸름하고 더이뻐보임 ..ㅠ,k L,16,7.754795551300049
제목을 처음 눈으로 봤을때 좀 걱정했습니다. 아 이번 작품은 좀 난이도가 있는거구나... 그래도 역시 필요없는 걱정이였네요. 오늘도 잘보고갑니다.,Brick Ethan,22,8.49194049835205
제성적취향이 이영화와 정반대라 후반부 동성애장면에 구역질이나와서 보다가 끈 유일한영화지만  미장셴은좋은거같아요 때깔이라고표현해야되나ㅎ 전 확실히 동성애를 받아들이지못한다는걸 확신하게된 영화로 기억하고있어요,명륜진사갈비,26,6.937564373016357
흥해라 흥해라,만세성남,8,5.550469875335693
좋은영상 감사합니다,은산평강,6,8.43281078338623
"언젠가 백만구독자가 넘는 사람들이 보고있을 영화의 식탁 그때 말하겠지, 흥할줄 알았다니까😊",이수민,64,5.34464168548584
