comment,author,num_likes,rate
그냥 딱 하나가 느껴짐. 팬과 배우와 제작진과 이 영화에 대한 예의와 애정과 감사함만을 생각하고 만든 영화.,툰.,6,7.013113021850586
아이언맨1은 20살 때 첫여친이랑 혜화 CGV에서 봤고 엔드게임은 31때 지금 여자친구랑 봤죠.. 정말 제 20대를 함께한 훌륭한 11년이었습니다,ᄋᄋ,15,9.278139114379883
엔드게임이 갖는 근본적 한계 : 1왕의 귀환과는 달리 진정한 의미의 마무리가 아님 2벌여놓은 얘기가 너무 많아서 정리하기 힘듬 3평행세계 세계관 자체가 감당하기 힘든 아이템,나광호,6,6.919803142547607
"마블 3,000만큼 사랑합니다 ❤❤❤",커비별의요정,6,8.212068557739258
형님 대부 리뷰도 가능할까요?,라면물조절장인,5,6.482367992401123
싫은 소리를 하는것도 극찬을 하는것도 모두 이 영화에 담은 애정의 표현인것 같다. 단품의 영화로선 부족할지 라도 그동안 빌드업한 팬심을 모아 터뜨려주는 헌정영상이라고 생각하면 더할나위 없다고 생각한다. 3시간의 꿈을 꾸게해준 마블의 다음 페이즈도 기대한다.,나리큐,3,7.840747356414795
마블영화 세계관의 가장 큰 실수는 캡틴마블이지,유효준,12,6.246045112609863
"확실히 엔드게임은 MCU의 인피니티 사가를  훌륭하게 끝내준 좋은 작품이죠. 물론 훌륭했어도 약간의 아쉬움은 있었지만, 장편영화의 특성상 가면 갈수록 이끌기 힘든데 MCU는 1년에 몇개씩 영화를 공개했고 그 영화들마다 좋은 평가를 받은 MCU가 대단하다고 생각이 드네요. 특히 스톤을 이용해 시간여행이란 소재로 재밌고 훌륭한 오마주나 팬 서비스가 무척 좋았고요.  또, 캐릭터들의 감정이나 행동의 변화가 엔드게임에 더욱 몰입해서 볼 수 있었습니다. 토니와 캡틴은 모두 다 공감할 정도로 훌륭한 서사의 마무리를 보여줬죠.   토니의 경우, 아들같은 피터를 못 잊고 자신의 특성을 활용해 시간여행 장치를 만들어 시간여행을 가능하게 완성시켰죠. 그리고 과거로 가서 하워드 스타크와의 감동적인 재회로 아버지에 대한 오해가 풀리고 이해하는 장면은 전투 도중에 피터와 재회하는 장면과 함께 정말 훈훈했습니다. 그리고 대망의 마지막에서 자신의 희생으로 빌런이 사라지고 자신의 소중한 사람들이 전부 안전하다는 사실에 마음을 놓는 장면은 정말 눈물이 나네요. 정말 영웅의 희생심이 잘 와닿았습니다. (이건 제가 영화관에서 세번째로 봤을때, 느낀건데 아이언맨의 전투씬이 무척 달라져 보이더군요. 인워때는 나노테크를 이용한 근접전이 많았는데 엔드게임에서는 원거리를 위주로 싸우네요. 아마 근접전을 이용한 전투가 타노스에겐 효과가 없다는 것을 알고 전투방식을 원거리로 바꾼 마블의 디테일이 아닌가 싶습니다.)  캡틴의 경우, 힘든 상황에서도 강한 정신력으로 사람들을 이끄는 모습이 너무 리더다워서 좋았습니다. 특히 작전을 말할때, 너무 멋있었죠. 그리고 과거로 가서 &#39;헤일 하일드라!&#39;라든지 자신과의 결투에서 자신의 친구인 버키를 이용해 자신을 쓰러뜨린 장면들은 캡틴을 더욱 재미있는 사람으로 만들어 줬고요. 아무튼 이후, 타노스의 기습으로 아이언맨, 토르와 함께 타노스를 상대할 때, 캡틴이 묠니르를 들고 토르를 구하는 장면은 정말 소름돋았습니다. 지금까지 토니와 토르에 비해 비교적 약한 캡틴이 묠니르의 버프로 타노스와 1:1로 나름 싸우는 장면은 캡틴의 마지막의 전력을 보여주는 것 같았고요. 그래도 결국은 쓰러졌지만 끝까지 버티는 정신과 신념이 무척 훌륭했습니다. 그리고 &#39;어벤져스 어셈블&#39;은 완벽 그 자체로 보였습니다.   그 다음은 토르가 인상적이더군요. 토르의 경우, 지금까지 고난과 역경을 겪어 최강이 되었지만 결국 복수를 해도 실패하여 5년동안 정신이 나갔었죠. 하지만 시간여행에 의해 과거로 가서 어머니인 프리가의 조언을 듣고 정신차리는 모습이 마침 현실에서 지치고 힘들때, 조언해주는 부모님의 모습처럼 보여서 공감할 수 있었습니다. 물론 토르가 뱃살과 안 좋은 상태로 너프를 당했지만 어머니의 조언으로 정신차리고 묠니르를 드는 장면 엔드게임에서 토르의 최고의 장면이라고 생각합니다.   댓글을 적다보니 많이 길어졌네요. 물론 아쉬운 것도 많았죠. 개인적으로 헐크와 배너의 심리묘사를 보고싶었고, 최종전에서 블랙 위도우의 전투씬도 보고 싶었습니다. 그 외에도 가루가 되어 활약을 못한 다른 애들의 전투씬도 좀 오래나왔으면 좋겠다고 생각이 드네요. 그래도 11년의 마무리를 훌륭하게 끝내준 MCU의 정점이였고, 마블 팬으로서 엔드게임이 모든 영화들 중 박스오피스 1위가 된 것도 좋았습니다. 비록 토니와 스티브의 이야기를 못 본다는 것은 아쉬워도 좋은 퇴장이였으니 만족스럽네요. 앞으로의 MCU도 페이즈4도 기대됩니다. MCU 화이팅!",박상원,7,8.798489570617676
캡틴마블 정말 빼길!!!,김군,3,5.934420108795166
엑스맨의 엔드게임같았던 엑스맨:데이즈 오브 퓨처패스트도 언젠가 리뷰해 주셨으면 좋겠습니다,오이싫어,5,6.6580071449279785
향후 영화 역사에도 오랫동안 남을 10년간의 사가 일거라 확신합니다. 마블의 10년은 완벽했습니다.,소떡소떡,3,9.213199615478516
저작권때문에 재업하신거구낭 ^^,손영진,3,6.500829696655273
솔직히 어떤 흠이 있던 마블 시리즈만큼 한 영화에서 팬들을 위한 엄청난 팬서비스를 주고 11년간 한 캐릭터를 연기해온 배우에게 존경을 표하고 캐릭터를 존경하면서 막을 내리는 시리즈는 결코 만들기 쉽지도 않고 앞으로 자주 나오지도 않을거다            공감이 안간다면 스타워즈 라이즈오브 스카이워커를 보자,ᄒᄋ,5,6.698530673980713
조금만 늦게 나왔어도 코로나 때문에 못 볼 수도 있었네요 ㅠㅠ 여러모로 코믹스의 본질에 다가선 영화라 생각합니다,가면라이더,5,5.938114166259766
라이너 성님이 7점을 주셨다는것은 이 영화가 확실히 대단한 작품이긴 하다는 뜻......,poppin팝핀,25,8.335387229919434
언젠가 미래에 나의 자식이 이건 어떤 영화냐고 하면 눈물을 흘릴거 같은 영화입니다..,김연우,6,8.178645133972168
