comment,author,num_likes,rate
영알못인 나한테도 영화가 예술 작품이라는 말이 정말 와닿는 영화였음 와 이게 정말 연출이라는 거구나 싶더라 그림 보는 것 같았음,채은,3,8.651057243347168
어떻게 도시락 반찬까지 신경을 쓰지.. 대단하다,킁킁,4,7.359341144561768
"퀴어영화, 19금영화라는 이유로 우리나라에서 단순 에로영화로 취급받는거 진짜 안타까움...",이리,386,9.206010818481445
영화 볼 때 문어보고 존나 충격먹었음.... 근데 그정도의 수위였어서 영화가 더 충격적이면서 인상깊지 않았나 생각 들기도 함,곰쿠마,6,8.067068099975586
아가씨도 좋았지만 박쥐는 진짜 개쩔었음 마지막 장면은 정말 충격적,이민우,10,8.449753761291504
이 정도 퀄리티의 영상이 이 정도의 길이라니.. 그저 매번 감사할뿐...,Sac Lee,6,9.302536964416504
정사씬이 단순히 흥미유발이 아니라 영화적 당위성이 있기에 청불이 아니라는게 정말 프랑스답네요 뭐가 정답이다라고는 말 못 하겠지만 예술에 대한 접근 자체가 다른 건 인정해야 할 듯,mango,494,5.394824028015137
진짜 찐변태다... 아무나 영화감독 하는게 아니구나,시리얼,48,2.706753730773926
영화속 아름다운 미장센과 히데코와 숙희의 매력적이고 오묘한 감정선 때문에 이 영화가 좋은 평가를 받는듯함 아가씨를 삼류 에로무비로 판단한다면 그것만큼 빡칠일이 있나ㅋㅋ 마냥 야한 영화로 치부하긴 예술성이 견고하다 이영화 몇번 봤는지 모르겠음 내 인생영화 중 하나... 특히 히데코와 숙희가 손을 마주잡고 넓은 들판을 향해 뛰어나가는 장면은 아직도 뇌리에 박혀있다 둘만의 관계성이 정말 좋았고 김민희 배우님 스크린에서 보고 싶은데... 정말 아쉽다 아가씨는 진짜 명작임,공부하자,3,9.310966491699219
놓치기 쉬운 것 하나하나까지도 고심해야 비로소 명작이 탄생하는거구나,Mr. Jay,6,9.052817344665527
이거 개봉할때 엄마가 같이 보러가자 해서 큰일날뻔..,정승오,36,6.90009880065918
영화보는 내내 조진웅의 페르소나를 쓰고 박찬욱이 맘껏 변태미를 뽐내는 게 너무 속시원하고 개구지게 느껴졌어요 ㅋㅋ,Hunter Ha,14,7.297921657562256
박찬욱 봉준호 영화보면 영화가 종합예술이라는게 절실히 느껴짐,soul 9,14,8.372600555419922
봉준호는 쓰지만 힘들면 달달한 소주 박찬욱은 달콤하지만 떨떠름한 와인같은 느낌이죠,jhd446,226,7.954349994659424
이거 혼자 보러갔다가...중간에 소변 마려운거 참고 참다가 도저히 안되겠어서 화장실 갔는데 하필 베드신 직후라 눈치보였음...,Ma Hammubara,7,4.523200035095215
대한민국 여성 서사 영화 변천사 2016: 아가씨 2020: 걸캅스           시발 퇴화했네,ᄒᄋ,8,2.131650447845459
덕분에 아가씨 영화 볼 생각이 생겼네요. 언제나 질 좋은 영상 잘보고 갑니다.,130kg의현영현영해,5,6.114864826202393
디테일 미쳤네,펌펌,5,6.851306915283203
무엇보다 포비아의 시선이 들어갈 여지가 있는 연출이 아니라 왜? 🤷‍♂️ 어때서? 같은 시선을 전제로 일반적이고 평범한 관계처럼 연출한게 대박적.. 그건 정말 온전한 숙희와 히데코의 자연스러운 시선으로 영화를 보여주는 것처럼 보이기도 함..,피식아빵송해안그럼땡깡부릴거야,55,8.709246635437012
와 대박 길어 너무 좋다... 영화는 정말 다양한걸 고려하고 공부해야하는구나,냠냠,6,9.540090560913086
뭐야 마침 어제 이거 4번째로 돌려봤는데 귀신같이 올려주시네요 진짜 인생영화임 이건... 처음 본 이후로 반영구 과몰입상태......,웃지마민병관,3,9.139745712280273
이런 비하인드는 어떻게 아셨나요?? ㅠㅠ 영화관련 종사자이신건가요? 매번 감탄합니다..😀,OurSpace🪐,6,6.371197700500488
우리나라는 정서상 12세로 될 수가 절대 없겠지만 만약 15세로 된다면 가족부와 사회단체들이 들고 일어나겠지?,Albert Park,4,6.272425174713135
봉준호 감독은 재밌는 문학작품을 읽는 느낌이고 박찬욱 감독은 세련된 전시전을 보는 느낌,orange Unknown,92,7.9565863609313965
들을수록 배운변태 천재변태 ㅋ박찬욱,황금별chacha05,10,6.574286937713623
아가씨보고 처음듣 생각: 박찬욱은 정말 변태다. 변태가 아니면 이런씬이 나올수가없다,Hi Yong,505,2.6379036903381348
35분... 왜 &#39;아가씨&#39; 는 안 다루는 거지?? 했었는데...  안 하고 있는게 아니라 하고 계셨던거였네요...  몇 번 라방 하실 때 마다 요청 드렸는데 그게 죄송해지네요..  엄청난 양을 다루셨네요 수고하셨고 감사합니다. 그리고 박찬욱 감독님의 엄청난 디테일에 감명받았습니다.,YONG JOON PARK,19,8.110774040222168
한참 영화관 알바할때 개봉했던 영환데 퇴관할때 딸들 데리고 같이 온 아버지들의 참담한 표정이 너무 웃겼음ㅋㅋㅋㅋㅋㅋ 하필 마지막 장면이...ㅋㅋㅋㅋ,끔찍한날이야,608,4.2491655349731445
영화와 박찬욱이 엄청나서 그런지 레퍼런스들도 엄청나군요,shm choi,29,8.476262092590332
오 진짜 자료수집 열심히 하셨다! 재밌었어요,차차,3,5.698498249053955
첨으로 극장에서 본 박찬욱 감독님 영화..ㅎ 김태리는 진짜 신인급 연기가 아니었음..,자유시간,16,6.4018473625183105
내 최애영화..너무 아름다웡...,피죽,6,9.363086700439453
