comment,author,num_likes,rate
다른것보다 설리가 진짜 이쁘긴 이쁘구나,SythHAN,3,7.801090240478516
아 영화보다 리뷰가 몇만배 재미있어서 계속 보게 돼네요 ㅋㅋ 사후경직펀치 ㅋㅋㅋ,jupiter5331,4,9.024091720581055
이영화를 왜 이해하려고 하셨던거죠 ㄷㄷㄷ 존경합니다.,유로파,5,7.867935657501221
진짜 리얼은 리뷰하는거 보는 재미가있음,박이삭,10,8.790572166442871
중국 자본이 시키는 대로 끌려가다가 저 지경이 된걸까요?,Be Paris5,4,7.124102592468262
ㅅㅂ 정신병걸릴것ㄱㅏㅌㅌ라요 ㅋ  ㅌ ㅌ  ㅌ ㅌ ㅌ ㅋ ㅋ 김수현 제발 저런 데 나오지 말ㄹ아조 . ..ㅎ..ㅜ,This is the most fun I've had without lubricant,5,1.368612289428711
"저는 이영화  마지막 부분에   액션 신에서    아  이제   김수현이  춤만 추면 되겠다.  했더니  정말  춤을 추더군요. ㅋㅋㅋ    이 영화가 도데체  왜? 이런가?  했더니.  감독이 영화 찍다.  투자사랑   싸워서  도중에 그만 두고 ,  다른 감독이 중간에 들어 와 영화를 완성했다고 하더군요. ㅋㅋㅋ",안현민,17,3.1620967388153076
"두 자아의 대결이랑 카지노 지분 사업이 뭔가 이상하게 얽힌듯. 두 자아가 싸우는데 왜 카지노 사건에선 협동을 하지? 두 자아간의 대결은 그냥 약먹고 내가 사실 진짜야 하고 끝나네. 반전을 노린것같지만 충격이 없음. 자아2 부활도, 의사가 배후인것도 반전의 형식이지만 아무 감흥이 없음.   이 영화는 뭔가 그럴듯하게 짜냈지만 아무것도 없는듯. 의식의 흐름기법이 있는데 주제가 없음. 정말 말그대로 의식의 흐름. 그냥 일곱살짜리 아이가 상상하는 내용을 그대로 영화에 옮긴듯. 아니면 감독이 꿈꾼내용을 옮겼거나.",G AB,4,3.5127711296081543
"제목 개 어그로 ㅋㄷㅋㄷ 근데 난 재밋게 봤다 왜냐면 김수현 연기하는 맛 보느라 재밌었다. 스토리만 눈감아주면 재밌는 영화, 내가 지금 뭔 개소리를 하는거지",구구리,4,5.539438247680664
차라리 군대가고나서 드라마를 찍지 그랬나여 수현찡 ㅠㅠㅠㅠㅠㅠ,메리고라운드,7,2.712719202041626
김수현 ㅋㅋㅋ 군대가기전에 작품하나 찍고 싶었는데 드라마는 길고 영화 한편 해야지 하고 맡은게 이모냥이니 울고 싶겠다 진짜,강윤석,14,3.4053447246551514
의외로 잘 이해하시는거 같은데 ㅋㅋㅋ,젠타포트,7,7.963494300842285
이거 만든사람도 스토리 설명못할듯,Choi_Lucia,7,3.774134397506714
요약본 보는데도 왜이렇게 졸리지...,primicérĭus,4,5.032078742980957
포스터부터 아무 의미가 없다..,huskarl,4,4.742733478546143
부분적인 클립도 보기 민망해요.,Dani,8,3.3531126976013184
김수현 영화찍고 울었다든데.. 안타까워서 어쩜ㅠㅠㅠ 배우에겐 죄가 없다ㅠㅠ,으뿌직쓰똥빠르,7,6.095061302185059
리얼을 끝까지 보다니 보고 바로 구독박습니다,아니지야그건,6,9.117846488952637
근데..이 좋은배우들 어쩔껀데..;;,케코,3,2.4474380016326904
노타임 노씨를 10번정도 다시보고 나름의 결론을 내립니다... 어쩌면 김수현씨는... 이경영씨의 또다른 자아이지 않을까....  내가 뭐래니....,인썸,3,7.4051432609558105
전 참고로 이거 나오자마자 봤습니다.......극장에서 히루만 기다렸다면......,Simon.D Fan,3,6.85335111618042
시간과 수명을 단축시키셧군요.,ZIO,10,1.8326393365859985
리얼 진짜 뭔지 모르겠다,세젤귀마법사,9,5.1611528396606445
이런 리액션컨텐츠 재미있습니다ㅋㅋㅋㅋㅋ&#39; 고통대신 받아드립니다같습니다&#39;ㅋㅋ13편다봤어요 추천영화받습니까?ㅎㅎ,마스터볼까,20,8.712594985961914
세상은 r(리얼이전)/r(리얼이후)로 나누어진다 Time 기자,luna city,3,8.771834373474121
100번째다이거리얼로폭망ㅇㅈ ㅇ ㅇㅈ,박준형,4,3.1089835166931152
드디어 클레멘타임이 오겠구나....,SR S,5,4.2262797355651855
노티임 노씨~ 로고송이 착착 붙어요 리얼루다가,yopu Yopu,4,7.201091289520264
영화에서 웃는게 웃긴게 아니라 인썸님이랑 고담님 반응이 웃김ㅋㅋㅋ.,하랑이0612,8,6.780417442321777
그 어려운 걸 해내시다니....,아즈레엘,4,7.4843058586120605
우와ㅋㅋㅋ진짜 어이없다ㅋㅋㅋㅋㅋㅋ 개연성이 일도없다ㅋㅋㅋㅋㅋ와하ㅋㅋㅋ,싱싱,5,1.44004487991333
2017 국내 영화 계에 한 획을 그은 작품을 완주하셨군요. 우정이 돈독해지는 영화..ㅋㅋ,Dong-Jin Kim,17,9.778733253479004
저이거 돈주고 봤는데.....,이적행위,16,2.582958221435547
허...ㅎ ㅓ ㅎ..허ㅓㅓㅎㅎㅎ..ㅋㅋ,arnim von,22,4.864746570587158
