comment,author,num_likes,rate
굿바이 블랙 팬서 ㅠ 블랙 팬서 역을 연기한 채드윅 보스만의 마지막 작품 마지막까지 어벤저스와 함께 해주셔서 감사합니다. 다들 보스만에게 바치시길.. R.I.P,맥컴플McComple,6,8.481621742248535
어셈블은 ㄹㅇ........그때 영화관에서의 전율을 아직도 잊을수가없다......,ᄋᄋ,3,9.142754554748535
남자는 태어나서 세 번 운다고 했다. 1.에이스가 죽었을때 2.이타치가 죽었을때 3.어벤져스 동글동글 생겼을때,tlqkf XRP,16,6.319826126098633
완다랑 토르가 젤 좋당 ㅋㅋㅋ  토르도 라그나로크에서 처럼 아무것도 없이 번개계속 쓸수있게 해줬으면 ..,백동화,3,8.778660774230957
캡틴 ㄷ 캡틴에서 거의 비슷하면서 살짝 밀리는 느낌이 있는걸로 봐서 캡틴은 상향한번도 안먹고 너무 꾸준히만 갔던 캐릭터 ..마지막에 드디어 묠니르를 들긴했지만,백동화,6,8.555219650268555
블랙팬서 배우님 고인의 명복을 빕니다.,빽승현,986,8.598090171813965
엔드게임은 인생  최고 명작급,서보준,8,8.474839210510254
"아연맨:제일착함 캡틴:희생정신 강한척하면서 희생이 없음 토르:맥주말고 아는게 없음 헐크:노출증 고침 워머신:있었어? 스파이더맨:포옹 블팬:스톤셔틀 위도우:소울 호크아이:스톤셔틀2, 실험쥐 완다:살짝 더 쌔짐 윈터솔져:5초 컷? 팔콘:2대 희생정신강한척 그루트:i&#39;am groot 로켓:용?한테 먹힐뻔함 네뷸라:철 색깔 주황색 가모라:왼쪽 톡 오른쪽 툭 스타로:하나남음 닥스:1개 이근:인성에 문제있어?",ᅲ터ᅲ티,38,8.199331283569336
토니 영상으로 3000만큼 사랑해랑 해피가 모건한테 먹고싶은거없냐해서 치즈버거하니까 너희아빠도 참 그걸 좋아했는데 그거 보고 눈물샘2차폭팔,똥꼬니,3,7.9210734367370605
캡틴 아메리카가 토르 망치 들었을때 진짜 너무너무 멋진 명장면 같아요^^,주황,4,8.952275276184082
앤드게임은 다 명장면임ㅋㅋㅋ,나석용,15,8.932158470153809
진짜 캡틴마블 나올때 영화관에서 소리지를뻔,채오니,3,8.205767631530762
난 객적으로 아이엠 아이언맨이 가장좋아      l’m lron man,YouTube파딕,5,7.752883434295654
"어벤져스 어셈블 하기 전, 팔콘이 cap, on your left도 좋았습니다. 윈터솔져 첫장면 따온 느낌으로.. 멋있더라구요",Mr.컨트리맨,6,8.164631843566895
나타샤의 희생에서 우신분 손,김호,23,7.752582550048828
3시간인 이유가 있는 영화 3시간이 3분처럼 느껴진 영화 이 영화가 처음이다,병진,14,8.567200660705566
(도시)를 구하고 (세계)를 구하고 전 (우주)를 구한 아이언맨 (규모가 커짐),둔둔둔둔,5,7.84018087387085
여성 히어로 모이는 장면에서 나타샤 없어서 광광 울었다 진짜,아무리 생각캐도 난마늘,170,8.196107864379883
생쥐가 없었다면 모든게 불가능 했다...,ᄋᄋ,147,2.470144510269165
아니 영화관에서 음료수 존나쳐마셔서 2시간정돈 오줌참으면서 봤는데 캡틴뒤에서 멤버들 오는거랑 아이언맨죽는거보고 조금씩 조금씩 지려서 다 쌋음,영훈,4,9.542549133300781
캡틴마블이 제일 쎄네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우주선 파괴 할 정도면 제일 쎈 거지,소방관,75,5.5016398429870605
진짜 어벤져스 엔드게임이 진짜 좋았던게 캡틴마블이 마무리 안해서 너무 좋았음  그래도 캡틴 토르 아이언맨이 그동안 거쳐온 여정이 있는데 캡틴마블이 갑분 등장해서 타노스 처지했으면..,사람,39,8.707329750061035
캡틴마블 등장이 저렇게는 좀 아니였고.. 가오갤 라바저스 군단이 나왔다면 더 심금을 울렸을텐데..,박정수,4,7.6737284660339355
여기 왜 스타크와 아버지의 만남의 씬이 없냐ㅜㅜ 그 장면이 솔직히 제일 기억남았음  토니 아버지가 어디서 본거 같은데.. 할때부터 ㅜㅜ,Such Kridhdj,18,6.8837971687316895
어벤져스 어셈블때 나오지 않은 영웅이 있습니다만       퀵 실버,김동고,42,7.742957592010498
"그러고보니 스티브,토니,토르는 자신이 잃었던 소중한 사람을 시간여행을 통해 다시만남......스티브는 페기를 토니는 아버지를 토르는 어머니를...",이이이,8,9.514433860778809
"이번거 진짜 아쉬운게 토니의 죽음, 그리고 나타샤의 죽음, 그리고 캡틴이.. 늙어서 돌아온거.ㅠㅠ그리고 완다가 불쌍하다.. 쌍둥이랑 그 비전도 잃고 ..  진짜 마블보면서 계속 운것 같음ㅠㅠ",유힛,568,8.532672882080078
코로나로 방콕하며 느꼈다. 저때 돌아다니며 영화를 볼 수 있는게 얼마나 감사한 일인지,js Hwang,22,5.076059818267822
계속 쳐울면서 본 영화는 엔드게임이 ㄹㅇ 처음임,민무무,10,4.734526634216309
솔직히 캡틴이 어셈블 겁나 작게말해서 옆에있는 토르가 느아아아ㅏ아ㅏㅏ 안했으 면 다모름 ㅋㅋ (캡틴: 머쓱..),아트몬_ Artmon_,47,7.994312763214111
"스타로드: 누가봐도 내가 리더잖아 토르: 그래, 그래.....그래..맞아... 스타로드 : ?",루아브,3,8.914168357849121
타노스 국끓여먹을때 나타나서 토르가 팔자르고 모가지짜르는 장면왜없죠 ㅋㅋㅋㅋㅋㅋ,개빡친이훈이,318,6.907097339630127
완다랑 타노스 싸우는게 난 진짜 너무 좋았음 ..,아아아,408,9.324236869812012
엔드게임은 모든 장면이다 명장면임ㅋㅋㅋ,하늘게이밍[KR],8,7.9943742752075195
타노스의 뻘스냅이 가장 멋있는 장면입니다 타노스 사랑해 ㅋㅋㅋㅋㅋ,Gang Parkour,6,9.04474925994873
어셈블을 크게 외치지 않았던건 아마도 ‘지금부터 시작이야’ 같은 침착함 속에 숨겨진 분노? 의 느낌을 주려고 했던것 같습니다. 끝까지 방심하지 않겠다는 굳은 의지인 셈이죠.,미래라는이계,6,8.93974781036377
And...I&#39;m...       Iron man...,오태화,3,-1.0
캡틴이 엘베에서 로키창 가져갈때 하이드라 만세하는 것도 참 센스있는 장면이었는데 ㅋㅋㅋ,맨존버,312,8.340521812438965
마지막 “어벤져스 어셈블” 대사 원래  어벤져스 에이지 오브 울트론 마지막 쿠키영상에서 사용하려던 캡틴아메리카의 대사를 엔드게임에서 사용한거에요  어벤져스 에이지 오브 울트론 마지막 쿠키영상 참조하시면 이해가 빠르실꺼같네요^^  이거 모르시는분들이 많더라구요,한정우,3,8.315818786621094
나는 페퍼가 아이언맨 죽을때 &#39;&#39;푹 쉬세요&#39;&#39; 울컥했어요ㅠㅠㅠㅠ,닥쳐 말포이,79,8.99336051940918
시작과끝은 나는 아이언맨이다 개멋있다,경찰 Police,35,8.233285903930664
핑거스냅 직후 죽어가는 아이언맨의 가슴에 손을 대고 페퍼가 한 말... 이제 쉬어도 돼 갠적으로 넘나 좋아하는 장면...    +좋아요수 뭐여 겁나 많네 ㄱㅅㄱㅅ합니다,ᅨᅡ,919,5.776543617248535
아이엠아이언맨이요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 로다주돌아와 ㅠㅠㅠㅠㅠ 치즈버거랑 마크 86만들어줄게ㅠㅠㅠㅠㅠㅠ,영웅 수집가,7,8.743210792541504
토르가 캡틴한테 &#39;&#39;큰거주고 작은건 니가쓰고&#39;&#39; 웃겼는데 ㅋㅋ,guksu janchi,577,7.8199920654296875
개인적으로 마지막에 토니 스타크 장례식에서  토니에게 따뜻한 가슴이 있었다는 증거  이 장면도 명장면이 아닌가 싶습니다,bestentjpost JAY,1568,8.925641059875488
난 마지막 춤추는 장면도 굉장히 인상깊던데..드디어 지킨 데이트 약속..그 노래만 들어도 진짜 눈물남,디오니소스,46,9.097776412963867
왜 3000만큼 사랑해가 없나용...,훈민정음,3,6.568221092224121
폐퍼와 아이언맨이 같이싸우는장면,jeeyeon jeon,49,7.919858932495117
여덟번째 항상 따라해용 핑거스냅 엔드게임 끝가지 봤어용 나노 인피니 건틀렛 사주세용 6만원 ㅜㅠ 안사주겠죠?  농담입니다. 그대신 닌텐도 스위치 샀어용 축하 해주세요.,김진학,3,2.1972992420196533
내 명장면은 어셈블 다음 포탈열릴때다,김미자,8,9.377644538879395
내 마음속의 1위는 해피가 모건한티 뭐먹고싶어 했을때 치즈버거고 한게 너무 ㅠㅠ,sxjx h.,4,6.78354024887085
마지막에 캡틴이 시간여행으로 인피니티 스톤 어디론가 가져다 놓고 노인으로 왔을때 방패를 건네주는 장면이 아직도 기억에 남아있네요...ㅠㅠ,차니,8,8.444608688354492
쥐님이 다살리셨는데.....,꾸솨쓰와쒸쏴쓰,25,6.091924667358398
토니스타크가 과거로 돌아가서 아버지 하워드 스타크를 만나는 장면도 명장면 인 듯 합니다...,모두보라해,3,8.514095306396484
3000만큼 사랑해는요? 명장면인데...,구자현,3,8.84299373626709
과거로 간 토니스타크가 자신의 아버지인 하워드스타크를 만나 대화하는 장면도 띵장면...,이정우,2897,8.129422187805176
진짜.ㅋㅋㅋ스칼렛 너무 좋아요.. 내 최애,유나,7,8.437346458435059
전 웃긴장면이요 스톤 얻는법을 찾고있는데 블랙위도우가 어떻게 하면 타임스톤을 3개나 얻을수 있다고 한거욬ㅋㅋ,정현성,3,8.158841133117676
난 네가 누군지도 몰라  ㅁㅊㅋㅋㅋㅋㅋ,아무거나,3,4.579885959625244
와 근데 스트레인지 스타크가 이게 정말 단 한가지 이기는 방법이 맞냐고 했을때 지금 내가 말해주면 그 일은 일어나지 않을 거야 했을 때 마음이 얼마나 씁쓸했을까..그리고 토니한테 말을 해줫다면 토니는 과연 자신을 희생 안 했을까,댓글프로,142,9.659574508666992
아이언맨 당신은 우리의 모두의 마음속에 기억될겁니다 영원히,양사삼_yangsasam_parkour,6,9.352612495422363
글쎄.. 왠지 난 캡틴이 과거에 남아 사랑했던 그녀와 하기로했던 춤을 추는 장면이  생각나네,jinhyun park,214,7.168807029724121
토니가 죽고나서 딸이 치즈버거라고한거하고마지막대사  캡틴:그예기는 하지않겠소,모기,7,7.188811779022217
페퍼랑 토니 등맞대고 싸우는징면 추가요!! 아이언맨2에서 로디와 토니가 싸운 장면 오마주 한거 대박이었어요👍👍,Cole Walker,31,8.366689682006836
토니 스타크와 그 의 아버지 하워드 스타크가 만난는 장면도 뺄순없죠,한다희,34,8.049468040466309
제 명장면은 어벤져스 어셈블도 괜찬았지만  가슴에 와다은건 아이엠 아이언맨이 저는 이대사를 듣고 울뻔함ㅠㅠㅠㅠ 다시돌아와 로다주ㅠㅠㅠㅠㅠ,승승이,683,8.903422355651855
어벤져스 어셈블할때 갓욘두 와서 타노스 대가리에 화살로 구명 내고 가시지 ㅠㅠ,야이 싸없새야,6,9.608497619628906
캡틴페미도 나오네 ㅋㅋ,이종민,3,7.5024094581604
"스파이더맨이 스톤들 들고 도망다니다가 폭격때문에 넘어졌는데 여성 히어로들이 다 와서 공격하는거 존멋,,,,",예_리,12,7.942841053009033
