comment,author,num_likes,rate
&#39;저게 어떻게 한국 최고의 영화지?&#39;하시는 분들 있을까봐 설명드립니다 네이버 영화 평점다는 댓글에 &#39;이 영화를 보고 암이 나았습니다&#39;라고 하고 10점을 준 댓글이 있었습니다(물론 암세포가 암 걸려서 디졌다는 거임)그 이후로 물타기로 높은 평점이 계속되었고 그렇게 네이버 최고 수준인 평점 9.31을 받았습니다(참고로 비슷한 평점의 작품으로는 쇼생크 탈출이 있습니다)그 이후로 많은 사람들이 클레멘타인을 최고의 영화라고 하는 겁니다,대충이름,5,6.64204740524292
클레멘타인 명곡을 ㅂㅅ으로 만들어버림,hansol fresh,5,1.7797166109085083
마음의 고향 같은 영상... 왜인지 모르겠는데 선바님이 클레멘타인을 구체적이고 다양하게 까시는걸 볼때마다 알수없는 혼란과 평화를 느껴요,나임,5,7.885425567626953
ㅋㅋㅋㅋㅋㅋ아 선바님 진짜 망한영화 설명 너무 찰지게 잘햌ㅋㅋㅋㅋㅋㅋㅋ 이거 계속 해 주세욬ㅋㅋㅋㅋㅋㅋ제발요 ㅠㅠㅠㅠ,조댕,3,0.9651059508323669
이동준이 아빠다! 이동준이 뭐 산모의 남편이다! 똑같은말 아닙니까ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,하!그렇게나오시겠다?,6,5.451246738433838
이거 다른 리뷰어가 진지하게 리뷰한거보면 차마 눈뜨고 보고싶지 않은 장면들이 연속으로 나옵니다 ㅋㅋㅋㅋㅋㅋㅋ 90년대의 똥이란 똥은 다 모아놓은 영화임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 다른 리뷰영상은 한두번 보면 땡인데 이건 계속 보고있게 되네요 똥영화를 설명하는 언변이 아주 아카데미급임 ㄷㄷㄷㄷㄷㄷ 언제 디워 리뷰 한번 해주세요 ㅋㅋㅋㅋㅋㅋㅋ,그 리 즐 리,9,8.152220726013184
가장 인상깊었던 평점이 세상에는 A.C B.C 가 있다 After clementine Before clementineㅋㅋㅋㅋㅋㅋ,기미상궁,641,8.948150634765625
감독 백퍼 남자다ㅋㄲㅋㅋ육아 안해본 티남ㅋㅋㅋㄲㅋㅋ 대부분 애들이랑 제대로 관계도 안맺고 육아 내팽개친 아빠들은 딸이 애교란거 부릴줄 아나본데 현실은 아빠 냄새나 더러워ㅋㅋㅋ,SPN Normal,699,6.833609104156494
이 리뷰는 계속 다시봐도 재밌음ㅋㅋㅋㅋ,수현,4,8.854220390319824
재밌게 잘 봤습니다. 다만 중간에 &#39;눈물이 안 나오는 사람인데~&#39;사진은 방송이후 아이가 하늘나라로 떠났던 사연의 사진이었기때문에 사용이 조금 안타까웠네요.,우승현,61,8.950302124023438
썸네일 위화감 없는 것 좀봐,딸기빙수,2762,6.688339710235596
의리출연ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,우키티,3,1.3998751640319824
와 이건 거의 딸에 대한 판타지가 아내 판타지 급인데... 무슨 아빠라는 인간이 8살짜리한테 장보게 시키고.. 아빠가 얼마나 시켜댔음 아빠는 나 없인 암것도 못해~...아...네... 대단하다..,뿡방구,1175,1.008313536643982
