comment,author,num_likes,rate
ㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋ 웃기지좀 마 에서 같이 현웃터졌네옄ㅋㅋㅋㅋ 웃음이 너무 진심이야...ㅋㅋㅋㅋ,조막내,4,9.866125106811523
얼마나 영화로 들어가기 싫었으면 서론이 반이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,면식가NoodleLover,3,2.6462721824645996
ㅋㅋㅋㅋㅋ..... 현재 디워 cg 만든 사람들 하고 같이 일 하고 있는데 그들은 여전히 디워에 프라이드 갖고 있습니다..ㅋㅋㅋ..넘모 까지마세오 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ.,Jung L,8,2.232644557952881
"라이너님, 실망이네요. 비판하시는건 좋은데 팩트를 가져오시죠?   누적 관객 800만은 영화를 보러 간게 아니라 아리랑 들으러 간거예요. 공짜로 디워도 보고 다들 만족했던 기억이 있습니다.",빙글비글,4,4.493046283721924
그당시 우리의CG기술이 이렇게만들수있구나 감탄했던기억이 있습니다 그리고 우리나라영화에 헐리웃 배우가 나오네 하면서 놀랐던기억이 있습니다 그당시에는 그랬습니다ㅎㅎ,심재경,7,8.329483985900879
이형이 언제부터 개그유튜버가 되셨죠? ㅋㅋㅋㅋㅋ        (그만큼 재미있단겁니다),보노보노,3,8.992634773254395
엌ㅋㅋㅋㅋㅋㅋㅋㅋ그냥 까요..돌려까니까 더 아픈듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,홍성,11,1.146543025970459
아니 이너형ㅋㅋㅋㅋㅋㅋ 오늘 무슨 환각제 비슷한 마약 한사발 한거야??ㅋㅋ 나 1년 넘게 형꺼 보면서 댓글 단적이 없는데 오늘은 달아야겠어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 항상 근엄진지 깊이무한 철학과다 이렇게 가야 형인데 오늘은ㅋㅋㅋㅋ아 왜케 웃기지ㅋㅋㅋㅋ 심지어 1부만 올린거네 ㅋㅋㅋㅋㅋㅋㅋ 이번영상 너무 내스타일이다 형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Josh,7,7.444246768951416
진중권이라는 사람을 처음 알게해준 영화 ㅋㅋ,직모 유니버스,3,3.9823756217956543
괴물 : 2006년 개봉 디워 : 2007년 개봉 ???,김승원,19,2.4740118980407715
디워는 이런 퀄리티가 나올 수 있다쳐도 디빠들은 정말 이해가 안됨,낭만낙지,21,1.2125096321105957
리뷰에 통후추를 몇개나 넣은거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,JanGoon,3,3.4854774475097656
라이너가 이정도로 포장해주면 말다했지;;ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,FIash PoInt,5,7.893044471740723
모든 게 반어법으로 들리는 신기한 마술,애옹이 연수생-나는스,18,3.227991819381714
소름돋았다... 이게 한국영화라니... 가슴이 웅장해진다... 크... 마지막에 아리랑이라니... 애국심 벅차오르네...,mighty환즈,10,9.087002754211426
최대한 긍정적으로 리뷰하겠다 = 돌려까겠다,김동헌,13,5.046299934387207
아 7대망작은 못참지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,박박,10,4.277498245239258
내상을 심하게 입으셨음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,개들의왕,4,2.888331890106201
안 본 내가 승리자.,Sungjun Park,3,1.62225341796875
장수원이랑 연기 비교한거 진짜 신기하다  진짜 연달아 늘어놓으니까 장수원 연기가 훨씬 좋아보임,SRH,13,1.688056230545044
텐션 엄청 높앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 녹음 무척 힘들었겠네요,S.H SHIN,10,4.686694145202637
갑자기 그 영화 가 생각난다!      라.스.트.갓.파.더!,미안해서어쩌나,6,5.968740463256836
주모!!!  빨리 2편가져와!!!,김두햐,5,4.900092124938965
사랑해요는 진짜 레전드다ㅠㅠ,오리,3,9.526678085327148
"라이너님, 이거 녹음 하면서 현타 엄청 오셨을 듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",류승룡,6,9.591014862060547
그나저나 저 때 개봉 당시에 가족들이 다 디워볼 때 관심없다면서 안 본 내 자신 ㄹㅈㄷ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Subzero Choi,7,8.639298439025879
"D-WAR 의 완성도를 떠나서.... 오탁쿠스러운 괴수 영화는  그(심형래)만이 만들수 있다는점에서... 유니크하다는점은 인정할수 밖에 없을거 같습니다.... 국민학교시절 ,  심형래 영화 잘봤었는데  디워정도면  초딩들에겐 볼만한 영화가 아닐지.... 어설프고 비판받을 구석이 매우 많지만...  그냥 예전부터 찍었던 심형래의 영화중 하나라고보면 그냥 그럭저럭이 아닐까 싶어요....",마스터조,4,6.064290523529053
심형래는 남을 웃겨서 먹고 살았고 라이너는 남을 조롱해서 먹고 산다. . 디워보다 이 컨텐츠가 더 쓰레기다.,Denis,3,3.6742594242095947
초긍정파워로 역대급 웃긴 리뷰 남긴 라이너 당신은 대체..,Subzero Choi,5,7.913134574890137
"저는 라이너님에 대한 팬심이 있지만, 디워가 그토록 망작이라는 것에는 동의할 수 없습니다! 물론 내용면에서 앞뒤가 안맞고 하는 엉성한 부분이 많은 것은 사실이지만, 디워보다 돈을 훨씬 많이 들인 헐리우드영화중에 디워보다 쓰레기는 넘쳐납니다! 전 개인적으로 디워를 아쉬운 작품으로 기억하고 있습니다!",여행뚱TV,3,3.669907808303833
나에게 용가리는 오직 치킨너겟뿐이다,zoo,75,2.086414337158203
비꼬는게 그냥 까는것보다 듣기가 좋진 않네요,하나의꿈,3,5.3635663986206055
대본쓰시면서 현타 많이왔을듯 ㅋㅋㅋㅋㅋㅋ,DODO birb,6,6.8234686851501465
7대망작 왜 끝까지 안하냐고 속으로 욕했는데.. 내상이 심하셨군요. 용가리도 디워도 안본 주제에 제가 심했네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ᄋᄉᄋ,29,2.3075318336486816
거열형 받아 죽은 죄인을 다시 꺼내와 부관참시까지 ㅋㅋ,류종규,7,3.6881320476531982
이거 곽변호사님이 쏘아올린 공 때문인건가요?ㅋㅋㅋㅋ,작마,3,5.876913547515869
서론이 12분이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얼마나 영화적으로 할말이 없었으면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아침에오렌지,157,4.583786487579346
드디어 돌아온 7대망작,JY Hong,3,5.964725494384766
와.. 다른 것도 아니고 반지의 제왕을 깠었구나... 욕처먹어도 할 말 없으시네 ㅋㅋㅋ,이창근,17,3.4097228050231934
"이번 리뷰는 좀 실망이네요. 작품을 잘 고찰하고 재미있는 드립도 치던 라이너님 답지 않게, 얕잡아보고 비꼬는 내용으로 20분을 채우니 다른 유튜브 렉카랑 비슷한 느낌밖에 받지 못했습니다.",토루네코,8,9.151202201843262
아리랑 나오는데 계속 웃음이 나네 ㅋㅋㅋㅋ,Little Boy,5,6.002357482910156
"나 이거 개봉했을 때 애인이랑 봤는데, 바로 안 헤어진 거 보면 걔가 참 착했어.",Sirak Do,118,3.0726754665374756
병맛리뷰가 되어버린 ㅋㅋㅋ,엘드,4,4.482852935791016
디빠는 승리호빠로 대체되었습니다,정준기,18,3.440324068069458
초등학교 저학년 때 개봉한 이 영화를 굉장히 재밋게 봣엇는데........지금 보니...ㅋㅋㅋㅋㅋㅋㅋ,류건우,3,8.808833122253418
&#39;은밀하게 위대하게&#39; 도 좀 끼워주세요.,탱구라미,31,2.8629579544067383
영화야 못만들수 있지만 임금체불 사제총기 도박  등등 지저분한 그의 모습에 더 실망함,Little Boy,6,3.4279284477233887
와 나쁘다~ 반어법리뷰라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김한수,3,1.3336464166641235
이 영화를 다시 보니 며칠 후면 개봉할 고질라vs콩이 어지간히 못 만들어도 다 용서해줄 수 있을 것 같습니다..,Pandemonium,6,6.846359729766846
더욱 깊어진 조롱 최욱한테 못된거만 배우신듯 ㅋㅋㅋ,Kyoungmin Kim,32,8.185529708862305
2007년도 저 영화가 나왔는데 진짜 전 국민의 제정신이 어떻게 됐다고 느껴진 시대 ㅋㅋㅋㅋ,bb b,58,5.642690658569336
조롱이 더 깊어진거 같은데요?ㅋㅋㅋ,최재규,6,4.893762588500977
아니 ㅋㅋ 심형래씨가 저런 말을??? 몰랐네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,픽셀아트,4,3.265655517578125
솔직히  디워까지는 간신히 참을만 한데   죽을래 살래는 진짜 보다가 토할뻔함,이지원,38,5.166093826293945
긍정적으로 하신다면서요ㅋㅋㅋㅋㅋㅋ 여태 봤던 리뷰중에 가장 매운맛인데요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Chi Cho,94,8.839640617370605
솔직히 저는 심형래씨 코미디를 별루 안 좋아했네요.... 아이디어 없는 맨날 같은 컨셉.,에수카,10,4.085956573486328
수고 하셨습니다. 힘든 일을 끝까지 마무리 하셨네요. 듣는 저조차도 이리도 힘든데.. ㅠㅠ  내가 창피해서 참을수가 없네요... ;;;;;,Sonamoo PineTree,5,1.6990458965301514
진짜 마지막 아리랑은 채고였다. 미치는줄 알았어,박하,15,7.941625595092773
아아... 인트로부터 가슴이 웅장해진다,Jong Wook Lee,3,8.900062561035156
"&lt;심형래 감독이 비판받아야만 하는 이유&gt;  심형래 감독이 나오는 방송마다 항상 따라오는 말  그래도 꿈을 이루려는 도전 정신은 아름답다. , 우리기술로 헐리웃에 도전하는 패기나 도전정신은 배울만 하다.  이러한 포장을 해주는데 이건 정말 헛소리에 가깝다고 봅니다. 심형래 영화가 각본 문제 지적받은 건 남기남 감독과 함께 작업할 때부터 늘 꼬리표처럼 붙어다녔는데 진짜 1 도 개선하려는 노력을 보여준 적이 없었습니다.    오히려 그 지적하는 사람들한테 자기가 개그맨 출신이라 무시한다며 역정 내고 충무로가 나를 따돌린다고 욕만 해대고 쥬라기 공원은 말이 되냐 트랜스 포머는 말이 되냐는 망언만 쏟아 냈죠. 말이 안되는 내용을 설정이나 세계관 등으로 말이 되게 느끼도록 관객에게 설명하는게 sf 장르의 가장 중요한 요소 중에 하나인데 말이죠.    여기까진 그렇다 쳐도 최악은 무대뽀로 일벌려서 회사사람들 임금체불함... 도전정신이 아무리 좋아도 망할라면 자기만 망해야지 직원들이나 스텝들 피빨아먹으면서 아직도 방송나오면 아름다운 도전 디워2 포기 안 한다 이딴 소리하는 건 솔직히 까놓고 말해서 역겨운 짓임.",에르네스토,33,1.8150482177734375
"감독으로서, 그리고 코미디언으로서 심형래라는 사람이 나름의 업적을 가지고 있음은 인정할 부분이죠. 하지만 그의 업적은 그에게 열정을 바친 스텝들을 갈아놓은 것 뿐 아니라 부당행위, 폭력, 갑질, 임금체불 등 가장 안좋은 행태를 통해 만들어진 것임을 언급하셨으면 좋겠네요. 장담컨데 그가 아직까지도 감독일을 하고 있었다면 그는 김기덕 감독이 나락으로 떨어진 것보다 훨씬 크게 떨어져 있을 겁니다. 갑질이나 여러가지 부당행위가 암묵적으로 묵인되던 십수년전에도 문제가 심각해서 곪아 터진 것이었으니까요... 그가 폭망한 것은 결국 그의 인과입니다.  디워 등의 당시 한국에서 독보적이었던 SF기술은 갑질과 임금체불 속에서도 열정을 갈아넣은  영화스텝들에 의한 것이었습니다.",CB34TD21,4,6.313505172729492
진짜 국뽕 마케팅의 끝을 본 영화죠 지금은 쓰레기라 말이라도 할수있지  그당시엔 영화 별루다 라고 하면 악플이 쏟아지던 이상한 영화였음,케이치,173,3.0029900074005127
텐션 진짜 역대급이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,세컨드,8,7.160314083099365
