comment,author,num_likes,rate
이렇게 편집해서 소개하니까 정상적인 영화같자나..,제로&라스티아,6,6.304379463195801
망할만하네,j 73,3,2.4895031452178955
"감독이 무능하면 어떻게 되는가를 여실히 보여주는 작품. 이제와서 보니 배우들의 연기도 다 좋았고 줄거리, 촬영, 조명, CG, 감각적인 미쟝센까지 다 수준 이상이었지만 디렉터의 무능함으로 인해 개연성과 설득력을 잃고 모두 다 똥이 되어버렸다.",ᄋ ᅮ ᄂ,68,6.946187973022461
비평때문에 영화 초반부터 부정적으로 보면 작품이 진짜로 말하려고 하는 의도를 알 수 없다 보다 면밀히 가능하면 더욱 자세히 곱씹어봐라 그러면 더 화가 날 것이다,kay-yay Yippie,17,8.906841278076172
"진짜 이때 이후로 우리나라 영화계의 내리막이 시작 됐다(중간중간 대단한 영화들이 있었으나,평타치는  영화가 줄어든 느낌)",심심허유,19,6.22243595123291
리얼을 리뷰해주시니 대단하시네요 ㅋㅋㅋ,푸른백합,3,8.431572914123535
이 영화 솔직히 말하면 쓰레기 .. 개연성 없었고ㅜ 아무리 우리나라 폭력 영화 잘 봐준다고 해도 악을 이기는 악이지.. 악끼리 줕어먹음 대책없죠.. ㅜㅜ,박병수,8,1.291787028312683
스토리 연기자들은 진짜 개씝역대급인데 어떻게 이런영화가나왔지ㅡㅡ;;;;;참,이형빈,8,1.8228344917297363
중국자본을 넣고 한국 영화계를 쪽주려고 제작된 영화. 와 진짜 감독 ㄹㅇ ...조선x,백마탄환자,25,3.4501824378967285
음식으로 비유하면 최고급 식재료로 음식물 쓰레기를 만든거죠.,카타르시스,4,2.0476114749908447
아...이래서 혼랴한 영화가 된거구만,으랏차차,4,6.4186692237854
진짜 이딴걸115억이나 주고 처 만들었다는 걸보고 돈에가치가 이런건가 생각했다,아구빠뽀,5,1.9195125102996826
정리된 내용 보니까 시놉은 꽤나 짱짱했겠다는 생각... 하지만 결과는 까고보니 알맹이 없는 김수현 화보집ㅜ,jw y,5,6.30160665512085
그냥 리얼 레기네요,foody man,4,8.170680046081543
이 영화는 내용이 문제가 아닙니다... 연출이......,Winnie Bee,3,5.010894298553467
영화를 좋아하는 인생 살면서 유일하게 싫어진 영화,kxxtx ㄴㅇㄱ,10,5.774949550628662
"와.. 영화를 직접 봤을 때는 내용이 난잡해서 잘 이해가 안갔는데, 이럿게 요약본을 보니까 여전히 이해가 안가네요.",도지개,50,8.500184059143066
머야 매트릭스 한국판이네,이홍준,3,5.778227806091309
"영화관에서 봤는데, 사람들 5~10분에 한번씩 한숨 쉬었음ㅋㅋ",우마보틀 U.M.A.Bottle,5,3.736762523651123
이걸 소개팅때 영화관서 본  내가 레전드,이수,213,4.765316963195801
"리얼은 배드씬 빼곤 영화에 전혀~ 집중이 안됨, 그래도 끝까지 다 봤는데, 엔딩에 김수현이 무슨 슈퍼맨? 매트릭스 처럼 휭휭 날아다니는 액션씬은 명장면이긴 하나, 그냥 웃겼음! 리얼 보다 더 집중이 안된 영화는 인랑, 정~말 왠만해선 강동원 영화는 재밌는데, 인랑은 진짜~ 중반도 안되서 다운 받은거 휴지통으로~",DARKDEADWALKER,28,5.216742515563965
아니 난 다 떠나서 이 영화를 참여한 배우들도 참 대단하다.. 그리고 이런 영화를 이렇게 리뷰로 만들려고 마음먹은 유튜버분도 정말 대단하시다.. 정신력하나는 알아줘야하는듯,세상에브리바디,34,1.9619500637054443
설리 보고싶다..,김태훈,3,6.295472145080566
시간이 아까울정도로 지루하게봤던 영화..,마루,6,1.7986791133880615
